artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Wizkid,Ayo,Ojuelegba,1AtBzcUzKLh4BGwXhFA9K6,0.645,0.748,9,-5.888,0,0.0351,0.000283,0.239,0.903,100.056,216243,4
Wizkid,Made In Lagos,Essence (feat. Tems),5FG7Tl93LdH117jEKYl3Cm,0.849,0.707,0,-6.002,1,0.113,8.58e-06,0.618,0.602,104.027,248040,4
Wizkid,Joro,Joro,3Yt1ovsh3v3VEzRuhI1TL5,0.686,0.694,7,-3.693,0,0.257,0.000904,0.109,0.587,189.998,262737,4
Wizkid,Sounds From The Other Side,Come Closer (feat. Drake),2zYs4BonN2ydkbrRk333SN,0.825,0.453,4,-7.429,0,0.227,3.82e-06,0.0838,0.496,99.974,211293,4
Larry Gaaga,Low,Low,4GW2SIyvB5fy8xtK1eO8PS,0.762,0.587,9,-2.862,0,0.0751,0.00252,0.0844,0.772,101.964,233012,4
Davido,Risky,Risky,56HnJIjgi41kpjh6L3Y1Ca,0.714,0.702,8,-4.544,1,0.264,0.0,0.0993,0.74,126.511,270316,5
Pheelz,Electricity,Electricity,4hqCqVze2sJqskEQmK2Mb7,0.824,0.72,9,-3.868,1,0.067,0.0,0.101,0.496,110.968,132913,4
Davido,Best Of Davido,Gobe,5kmAydOPSFszO11Qb1k6z0,0.631,0.951,9,-5.3,1,0.109,0.0,0.205,0.775,124.011,238228,4
Davido,Stand Strong (feat. Sunday Service Choir),Stand Strong (feat. Sunday Service Choir),1XUf5lpeTQbrohZWdx6Sbz,0.474,0.691,6,-5.026,1,0.098,1.55e-05,0.135,0.602,94.622,182792,4
Small Doctor,Mandeman (Remix),Mandeman - Remix,5YKECGQBvWMc9eYbZPuzrU,0.882,0.802,7,-4.762,1,0.0419,0.0,0.0849,0.886,122.03,161358,4
Fireboy DML,Bandana,Bandana,5CTQCPv51aLWpwTbqo8mEL,0.818,0.605,1,-7.121,1,0.038,0.0116,0.0696,0.366,104.931,178225,4
Asake,Terminator,Terminator,4vI2KCvXTAPR3vfiWg1J78,0.829,0.657,0,-6.802,1,0.0648,5.27e-05,0.0937,0.811,116.984,155897,4
Asake,Peace Be Unto You (PBUY),Peace Be Unto You (PBUY),1mJFFeluclL38IwV264lm9,0.808,0.769,7,-7.207,0,0.0833,4.12e-05,0.119,0.685,116.001,153103,4
Asake,Sungba (Remix) [feat. Burna Boy],Sungba (feat. Burna Boy) - Remix,5FtWjKVBTMklN2yCP9UhF6,0.861,0.588,7,-8.861,1,0.243,0.0,0.0591,0.705,111.995,210000,4
Iphxne Dj,Cruise Control: E-PianoSax (DJ Mix) (Edited),Palazzo (Mixed),2KRNdWyKcZrBg8QQuKVA6p,0.684,0.754,7,-7.937,1,0.159,0.0,0.702,0.591,115.989,148500,4
Fireboy DML,Peru (Remix),Peru - Remix,7voSun33hCNkIrjxaj3g47,0.966,0.509,7,-7.559,0,0.123,0.0,0.0799,0.646,108.013,186953,4
Fireboy DML,Playboy,Playboy,2AKS1HhpLu2rgkojECUm3V,0.541,0.667,2,-7.821,1,0.131,1.49e-06,0.0591,0.831,155.117,207475,5
Fireboy DML,Playboy,All Of Us (Ashawo),6459gZKddpOoPIH8PAcCwS,0.605,0.813,11,-6.416,1,0.0903,0.0033,0.132,0.748,199.837,183350,4
Fireboy DML,"Laughter, Tears & Goosebumps",Vibration,7u0z6FcJDqkZwdpqAqUzmO,0.791,0.828,11,-6.908,1,0.0477,1.17e-05,0.109,0.883,103.983,198462,4
Fireboy DML,"Laughter, Tears & Goosebumps",Scatter,0s3ZpsAaVCbWxDhLq2B2wh,0.726,0.802,11,-6.528,0,0.197,0.0728,0.314,0.593,119.829,164000,4
Burna Boy,"Love, Damini",Last Last,4LPNkxES0zCGn6S2Y1vmJN,0.812,0.563,3,-4.455,0,0.0887,0.0,0.0833,0.54,87.979,172342,4
Burna Boy,"Love, Damini",For My Hand (feat. Ed Sheeran),4N7AXHRMQYh9GHQd5hE6NP,0.853,0.471,9,-7.766,1,0.234,0.000136,0.207,0.684,104.021,159124,4
Burna Boy,"Love, Damini",It's Plenty,3PEkfP69a7aMMb8yI7PD88,0.77,0.563,7,-10.615,1,0.0928,7.9e-05,0.319,0.6,107.027,216992,4
Burna Boy,African Giant,On The Low,25MPSH5b95vAZgyQq9lt4M,0.816,0.782,1,-4.237,0,0.0425,0.00871,0.0836,0.938,99.951,185899,4
Stormzy,Heavy Is The Head,Own It (feat. Ed Sheeran & Burna Boy),4QPEwDdOMhY7rNS05mTyMR,0.817,0.781,7,-4.178,0,0.112,5.21e-06,0.123,0.359,104.0,216707,4
Ayra Starr,Rush,Rush,1rrqJ9QkOBYJlsZgqqwxgB,0.792,0.503,1,-8.044,1,0.0626,0.00057,0.0959,0.381,99.97,185093,4
Mavins,Overloading (OVERDOSE),Overloading (OVERDOSE),4lVEVXrlQlXPdYWMGTwrFe,0.546,0.611,0,-9.459,0,0.172,0.00149,0.101,0.749,104.059,205000,4
Ayra Starr,19 & Dangerous,Fashion Killer,3R2Etej4zzbt8LTs3rvJA1,0.777,0.674,5,-8.998,0,0.147,0.00039,0.138,0.336,99.966,177000,4
Ayra Starr,Bloody Samaritan,Bloody Samaritan,3Keas2doqXf1veo2DOOIdz,0.796,0.719,8,-7.018,0,0.138,0.0,0.0718,0.242,105.027,187000,4
Oxlade,KU LO SA - A COLORS SHOW,KU LO SA - A COLORS SHOW,2WigMwGJysIh9fRnSJvpjn,0.649,0.655,10,-5.534,0,0.0652,0.0,0.22,0.793,92.9,147581,4
Crayon,Ijo (Laba Laba),Ijo (Laba Laba),7tZMF9Hn5uGsfC7zGXbSKM,0.818,0.513,8,-11.382,0,0.0574,0.00105,0.0408,0.583,115.01,186000,4
Crayon,Cray Cray,So Fine,2CgKiJtYbJKzkJpo2J4Ks6,0.722,0.807,4,-5.698,1,0.0623,0.00594,0.143,0.748,102.244,209268,4
AV,Big Thug Boys,Big Thug Boys,64f7mZuEkeNeKOuzSjrIGm,0.866,0.719,10,-4.197,0,0.173,0.00428,0.109,0.813,108.091,171999,4
2Baba,Warriors,Opo (feat. Wizkid),1aPT4OyFWsqPp004pH2DuY,0.811,0.605,2,-6.16,0,0.0631,0.0606,0.0477,0.77,103.029,227971,4
2Baba,Warriors,Amaka (feat. Peruzzi),2F5EpzUXZBX46ruU0muOx0,0.855,0.675,0,-3.981,0,0.146,3.92e-06,0.0741,0.822,104.058,227683,4
2Baba,Warriors,Target You (feat. Syemca),3TnN2kZvjnZDsrS19beSqt,0.783,0.796,0,-6.857,1,0.171,0.0,0.103,0.772,100.031,184421,4
2Baba,Warriors,We Must Groove (feat. Burna Boy),7gcSJyitQE3OUWhEI7YTkB,0.715,0.917,9,-2.986,0,0.164,9.67e-06,0.0799,0.791,173.898,225827,4
Wande Coal,Iskaba,Iskaba,1GuLgNKd4lrI1vugkxMCAX,0.799,0.393,0,-19.917,0,0.071,0.00917,0.0637,0.94,125.041,224640,4
Wande Coal,Come My Way,Come My Way,3PnkEOvEKu7s2qQJ5mHpNl,0.9,0.762,2,-5.035,1,0.0372,0.00246,0.0681,0.802,113.006,208719,4
Wande Coal,So Mi So,So Mi So,2KG2MggKHSVTKR8nLJX8DV,0.754,0.523,2,-13.454,1,0.0481,0.000145,0.268,0.404,105.057,245182,4
Fireboy DML,APOLLO,Spell,0EY1uhJ0ujc1RHrucvrFMx,0.924,0.854,0,-3.492,1,0.0644,0.000268,0.0823,0.453,111.988,173372,4
Olamide,Carpe Diem,Triumphant (feat. Bella Shmurda),6rXfbZDPYQLWMinO552iwv,0.838,0.526,10,-8.658,1,0.157,0.0,0.069,0.731,94.991,194000,4
Olamide,Motigbana,Motigbana,6AYPyB4mgQIGeU0Xab4ONQ,0.855,0.805,7,-5.484,1,0.129,0.00154,0.0816,0.604,95.008,237513,4
Olamide,Carpe Diem,Green Light,11qqSo6AyQR68xqVlmwYls,0.897,0.721,10,-3.693,0,0.155,0.0462,0.083,0.961,100.096,194425,4
Kizz Daniel,Buga (Lo Lo Lo),Buga (Lo Lo Lo),4eZZofkV1OQ9GDqAgHqNpA,0.92,0.716,8,-7.104,1,0.105,0.00222,0.104,0.961,115.991,183103,4
Kizz Daniel,Barnabas,Pour Me Water,1DrfpnLvbwndPScRLwbUE0,0.7,0.708,8,-6.416,1,0.378,0.00522,0.125,0.677,126.883,146400,5
Kizz Daniel,No Bad Songz,Nesesari,1yOt3NUFWpYbnFW6ISj59h,0.792,0.793,5,-5.731,0,0.102,1.1e-06,0.13,0.945,110.874,178001,4
Kizz Daniel,King Of Love,Boys Are Bad,6nnZHjSHt0ZNtx4bIUky9P,0.83,0.512,9,-7.103,1,0.0714,0.00621,0.476,0.909,101.015,137000,4
Kizz Daniel,Barnabas,Oshe (feat. The Cavemen.),4upQnh3K5k1xbVOr97fdG7,0.92,0.554,6,-5.553,1,0.136,0.0,0.327,0.845,107.997,158400,4
Tiwa Savage,Sugarcane,Ma Lo,6U9jxxdQ6TNzjshIpwWMTf,0.788,0.721,11,-4.577,1,0.152,2.86e-06,0.0897,0.653,105.23,182857,4
