artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Black Sherif,The Villain I Never Was,45,7xLP9GqWARDKSoGPsU3126,0.845,0.718,6,-7.934,0,0.238,0,0.0937,0.454,149.989,179201,4
Seth Leo,Bad Girl Diary,Bad Girl Diary,0zpb8yYvhgOU9PGsjpilDx,0.706,0.745,0,-4.979,1,0.103,0.000275,0.105,0.734,171.963,171522,4
Blaqbonez,Back In Uni,Back In Uni,1DjjSWom4la3p67sZcBWTN,0.844,0.556,6,-5.531,1,0.301,0,0.175,0.65,105.034,150857,4
Black Sherif,The Villain I Never Was,Oil in my Head,5zNWfIlGEVQ72uzVOGgAiZ,0.497,0.398,9,-13.886,1,0.242,0.0704,0.126,0.273,161.698,153373,5
Black Sherif,The Villain I Never Was,Toxic Love City,53ghSWYpqUBsopl2R0D5xl,0.88,0.391,6,-9.761,1,0.27,0,0.114,0.666,105.982,181119,4
Asake,Mr. Money With The Vibe,Joha,5UwxpuGHkwiojKDaPC5ZNu,0.819,0.817,1,-8.221,0,0.0698,0.201,0.275,0.77,120.039,148000,4
Asake,Mr. Money With The Vibe,Organise,2wgvxtggKVzPkl0smF2UzI,0.779,0.79,9,-6.246,0,0.0612,2.24e-05,0.506,0.484,113.064,123717,4
Joeboy,Likkle Riddim,Likkle Riddim,3weAbRf5cn9SiCYxqZedot,0.826,0.679,1,-7.582,1,0.0904,0.594,0.0895,0.817,99.967,165613,4
Seth Leo,Psycho,Psycho,2ApVMFAFZm4UGTPgHy8Sv1,0.652,0.597,3,-8.925,0,0.201,2.27e-05,0.118,0.353,87.947,171027,4
Black Sherif,The Villain I Never Was,Sad Boys Don't Fold,0UtHD3hSKIglnfYtnaXE1L,0.517,0.559,5,-8.377,0,0.22,1.12e-06,0.133,0.548,139.22,161119,4
Patoranking,Kolo Kolo,Kolo Kolo,2RnkJgwCzgvQU3MUysO1fG,0.557,0.845,6,-4.352,0,0.103,2.29e-05,0.289,0.542,127.432,195136,5
Pheelz,Electricity,Electricity,6McBvfxgkVfREmQPwTKBUn,0.823,0.717,9,-3.879,1,0.0704,0,0.102,0.489,110.998,132913,4
Ayra Starr,Rush,Rush,1rrqJ9QkOBYJlsZgqqwxgB,0.792,0.503,1,-8.044,1,0.0626,0.00057,0.0959,0.381,99.97,185093,4
Asake,Mr. Money With The Vibe,Dull,46gfN72BxmLvACx6Pve4XU,0.645,0.324,7,-11.224,1,0.0302,0.0014,0.547,0.414,115.002,100174,4
Seth Leo,Space,Space,49X7JhZU4FyQWpCLAimDHU,0.76,0.585,3,-8.248,0,0.474,1.12e-05,0.202,0.678,168.105,171886,4
Young Jonn,Xtra Cool,Xtra Cool,5F4OfeowSReF93KcH2eUcG,0.843,0.725,6,-7.282,0,0.0539,0.00357,0.0948,0.556,120.0,150000,4
Bella Shmurda,Philo,Philo,5OTKO93FLT25URfam2hZgP,0.956,0.322,0,-13.333,0,0.206,0.00281,0.0927,0.925,111.119,168725,4
Poco Lee,Otilo (Izz Gone),Otilo (Izz Gone),3nTzEDC9sTD0YsC9C7osnN,0.848,0.697,10,-7.175,0,0.0636,0.0146,0.0525,0.889,115.05,162783,4
Rexxie,Abracadabra,Abracadabra,7zhLSGUbneW7Tm3wpp3HjY,0.914,0.721,2,-6.966,1,0.0413,0.0352,0.0794,0.481,114.053,182073,4
Black Sherif,Soja,Soja,5F7imvl6nIRWoMCejdR4Sk,0.819,0.384,0,-9.115,0,0.0685,5.22e-05,0.111,0.32,95.017,181546,4
Black Sherif,The Villain I Never Was,Konongo Zongo,3F6xtKBO2YixpP8lFJTiGo,0.75,0.373,11,-9.263,0,0.518,0,0.101,0.387,79.759,191986,4
S high,Hypnotize,Hypnotize,3K6KPwVBpyzje1UaHh5N1i,0.676,0.543,6,-3.963,0,0.227,3.03e-05,0.137,0.54,102.504,206821,4
Tekno,PAY,PAY,1bgbmg7fyF0qarV4m86aH6,0.779,0.715,8,-9.235,1,0.0402,0.0821,0.0516,0.656,113.018,207212,4
The Therapist,Nack Remix,Nack Remix,0SzvGgLW3d3P6ODpRwxGPA,0.928,0.676,1,-6.926,1,0.0777,0.000962,0.0943,0.518,113.08,178468,4
KAESTYLE,Kae's Study,Blessings,0U7ZICZtRhWB3oSMdtulDL,0.669,0.348,7,-12.415,0,0.361,0.0419,0.134,0.716,121.258,166034,5
Seth Leo,Udara,Udara,1bTwofnM2zLQ1PRzxVKihC,0.811,0.658,7,-6.237,1,0.0481,0,0.115,0.927,104.008,160731,4
Kayode,I Don't Want Your Love,I Don't Want Your Love,6Q9EnACrkMAYe8vY8dg9HL,0.7,0.57,8,-5.638,1,0.208,0,0.15,0.453,146.092,177806,4
Mr Eazi,Patek,Patek,3Ry6M5to0EblssBg3pfJt8,0.87,0.45,1,-12.221,1,0.0434,0.414,0.0514,0.508,112.987,116427,4
CKay,mmadu,mmadu,4QzOS4y283J1iizwxgTEk8,0.713,0.563,1,-4.459,1,0.123,0.705,0.119,0.746,125.144,196713,5
Rema,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,0.801,0.806,11,-5.206,1,0.0381,0.000669,0.114,0.802,106.999,239318,4
Joshua Adere,Home Boy,Home Boy,6kCiW7ozLXRpEimLzliHRB,0.61,0.676,5,-6.981,1,0.054,1.11e-05,0.0573,0.779,114.928,152348,4
Peruzzi,Hypertension / Things I Need,Things I Need,3Q2hwP99f1IU9DaHcyB1vM,0.822,0.897,0,-5.308,0,0.118,0,0.226,0.661,114.964,158609,4
Ayanfe,Temptation,Temptation,0yNmpPoO0oOPsjbZ46O4kq,0.502,0.589,11,-9.563,0,0.199,0,0.0784,0.554,145.046,152398,4
Sosa.ttw,Through Da’ Rain,Through Da’ Rain,1fa8yz1ky2ufCYUSSxZ3Ij,0.494,0.471,4,-16.243,0,0.125,0,0.179,0.617,139.8,185234,4
Sun Fin,Bed of Rap,Bed of Rap,0bAtpAc3OGR2bPdo2Gv0kb,0.847,0.501,7,-7.86,1,0.4,0.000855,0.0937,0.346,142.285,204890,4
S I,"Picasso Vibes, Vol. 1 - Sounds of African Music",Dutty Wine,0zNiCyeYO5HtWDUiKif2JI,0.643,0.573,6,-7.56,0,0.331,0,0.341,0.755,124.678,181277,5
